case_index,source_name,source_path,family_hint,resolution_N,amplitude_hat,delta_E_hat,base_energy_hat,delta_E_over_abs_base,energy_signal_valid,frequency_hat,omega_hat,fft_bin_index,frequency_window_limited,frequency_auto_extended,effective_t_final_hat,spectral_power,cycles,period_cv,harmonic_r2,pod_discovery_fraction,epsilon_RE,mesh_cv_plus,mesh_cv_minus,dt_hat_min,dt_hat_max,n_steps,normalization_L_hat,normalization_Gamma_hat,core_fraction_hat,temporal_frequency_rel_change
0,carrier0,synthetic,synthetic,64,0.002,2.7797673723454144e-06,2.0,1.3898836861727072e-06,True,1.2230400000000001,7.684586958092922,3,False,False,6.541077969649398,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
0,carrier0,synthetic,synthetic,64,0.003,6.307336134431506e-06,2.0,3.153668067215753e-06,True,1.2230400000000001,7.684586958092922,3,False,False,6.541077969649398,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
0,carrier0,synthetic,synthetic,64,0.004,1.1184424858398386e-05,2.0,5.592212429199193e-06,True,1.2230400000000001,7.684586958092922,3,False,False,6.541077969649398,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
0,carrier0,synthetic,synthetic,64,0.006,2.5139526910613212e-05,2.0,1.2569763455306606e-05,True,1.2230400000000001,7.684586958092922,3,False,False,6.541077969649398,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
0,carrier0,synthetic,synthetic,96,0.002,2.8135363069602622e-06,2.0,1.4067681534801311e-06,True,1.21152,7.612204663354212,3,False,False,6.603275224511358,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
0,carrier0,synthetic,synthetic,96,0.003,6.302081540897693e-06,2.0,3.1510407704488464e-06,True,1.21152,7.612204663354212,3,False,False,6.603275224511358,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
0,carrier0,synthetic,synthetic,96,0.004,1.1184629080631393e-05,2.0,5.592314540315696e-06,True,1.21152,7.612204663354212,3,False,False,6.603275224511358,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
0,carrier0,synthetic,synthetic,96,0.006,2.5427142385431007e-05,2.0,1.2713571192715503e-05,True,1.21152,7.612204663354212,3,False,False,6.603275224511358,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
0,carrier0,synthetic,synthetic,128,0.002,2.7930751461016747e-06,2.0,1.3965375730508374e-06,True,1.2,7.5398223686155035,3,False,False,6.666666666666667,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
0,carrier0,synthetic,synthetic,128,0.003,6.2602148799062804e-06,2.0,3.1301074399531402e-06,True,1.2,7.5398223686155035,3,False,False,6.666666666666667,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
0,carrier0,synthetic,synthetic,128,0.004,1.1123041025280082e-05,2.0,5.561520512640041e-06,True,1.2,7.5398223686155035,3,False,False,6.666666666666667,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
0,carrier0,synthetic,synthetic,128,0.006,2.5133709790543857e-05,2.0,1.2566854895271928e-05,True,1.2,7.5398223686155035,3,False,False,6.666666666666667,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
1,carrier1,synthetic,synthetic,64,0.002,2.8092183466123985e-06,2.0,1.4046091733061992e-06,True,1.345344,8.453045653902214,3,False,False,5.946434517863089,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
1,carrier1,synthetic,synthetic,64,0.003,6.326844800078213e-06,2.0,3.1634224000391067e-06,True,1.345344,8.453045653902214,3,False,False,5.946434517863089,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
1,carrier1,synthetic,synthetic,64,0.004,1.1263776717140267e-05,2.0,5.631888358570133e-06,True,1.345344,8.453045653902214,3,False,False,5.946434517863089,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
1,carrier1,synthetic,synthetic,64,0.006,2.5433400212959343e-05,2.0,1.2716700106479671e-05,True,1.345344,8.453045653902214,3,False,False,5.946434517863089,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
1,carrier1,synthetic,synthetic,96,0.002,2.8241299106901324e-06,2.0,1.4120649553450662e-06,True,1.332672,8.373425129689634,3,False,False,6.002977476828507,0.85,8,0.03,0.95,0.8,0.021,0.03,0.03,1e-05,1e-05,1000,1.0,1.0,0.05,0.002
