case_id,group,u_x,u_y,u_z,p_x,p_y,p_z,A_x,A_y,A_z
r0000,g0,-1.4238250364546312,1.2637284581291104,-0.8706617379590857,-4.623833449405935,4.103924124142032,-2.827450539230214,-0.07858740151984055,0.06975094074643766,-0.04805579466373789
r0001,g1,-0.740884652085609,-1.3677927017829434,0.6488928021930399,-2.410483267819344,-4.450141344151136,2.1111859152320434,-0.040738141022304455,-0.07520918650110435,0.03567989485230132
r0002,g2,2.347409654378852,0.9684969057519236,-0.7593871804245066,7.6497302088870045,3.156134262004007,-2.4746882349651163,0.12986323819547874,0.05357912034170564,-0.04201076625466789
r0003,g3,-0.06068951873702798,0.7888443445192008,-1.2566681331396765,-0.19758168392058637,2.568173173636334,-4.09122713513276,-0.003372985670552868,0.04384217778837892,-0.06984276187931635
r0004,g4,1.3222980607327857,-0.29969851529910546,0.9029193414250598,4.276562594260467,-0.9692818118278694,2.920212315090908,0.07266706228240169,-0.016469970972440552,0.04962005009896111
r0005,g5,0.44948393210667503,-1.343601072486395,-0.08168759069683368,1.4683813974914237,-4.389297769203282,-0.26685834579879253,0.025158551043818814,-0.07520414802426413,-0.0045722244409509335
r0006,g0,0.777361343810768,0.8286331955673406,-0.9589883130180109,2.51725808327147,2.683287027604914,-3.1054040722857206,0.04261207713778527,0.04542261064249734,-0.0525681966229924
r0007,g1,0.5415468299050529,0.7519393955576869,-0.6587603195674528,1.7535396930176885,2.4347951165835635,-2.1330793659138862,0.029833208307578716,0.04142349910215585,-0.03629036816976402
r0008,g2,0.3129029184347004,-0.13081169022343989,1.2699831204679328,1.0166508747255627,-0.4250194276080013,4.126294049187236,0.017279635000017026,-0.007223896383274081,0.07013307797718157
r0009,g3,-1.1082144670930707,0.1359568505505236,1.3470777642972676,-3.602357684766542,0.4419408155372901,4.378805800039115,-0.06125310908855141,0.007514592207004381,0.0744555351850797
r0010,g4,0.4336545370528692,0.277483659870901,0.5302523866401211,1.411646572384875,0.9032739747441233,1.7260950829350348,0.02404250920616819,0.015384143083908362,0.029398050286819702
r0011,g5,-0.7950174561466702,0.3000309462866171,-1.6027015921637315,-2.5858748023142017,0.9758810425087273,-5.212949263896995,-0.043793489180836594,0.016527186791349003,-0.0882847216672727
r0012,g0,-0.07127080619178035,0.4740497302500454,-0.4148537610713306,-0.2316980223771956,1.54111326749726,-1.3486699695429363,-0.003919482220408528,0.0260699939931197,-0.022814557986243402
r0013,g1,-0.8572588238845005,0.6882817881370419,-1.1545295832450446,-2.7915278366127603,2.2412808331466363,-3.75954306917195,-0.047258315304204594,0.037943077231368895,-0.06364603262500489
r0014,g2,-0.9073824573718444,-1.0954253073243774,0.007145694940042956,-2.9537204572766775,-3.5658394245731677,0.023260737690473054,-0.050052694753258534,-0.060425444736179876,0.00039416817542385537
r0015,g3,-0.18147274021444693,1.621951798510875,-0.3173919456610792,-0.5883429359658487,5.258442022770583,-1.0289992256770175,-0.010013429404155933,0.08949718735794696,-0.017513274101494496
r0016,g4,-0.2236389259485795,-0.7016908087073603,-1.7957131760562903,-0.7286108515978452,-2.286093691078639,-5.850395233666411,-0.012365165377951194,-0.03879701557791325,-0.09928633979581608
r0017,g5,0.000785525062587761,-1.0636427168871747,1.301714500069574,0.0025586843145721286,-3.4645946585619494,4.240063916492807,4.362563068969948e-05,-0.059071424404774225,0.0722931943843835
r0018,g0,-0.1104186881258106,0.46791853063369837,0.8906071496948115,-0.3599620900918047,1.5254024036916685,2.903356456196763,-0.006125090286626659,0.02595614289178591,0.04940331473219898
r0019,g1,-0.0619046856642053,-0.3594796472983204,-0.7486439842988812,-0.20060749364291136,-1.1649249210524941,-2.426045649204891,-0.0034140109000918135,-0.01982511373847845,-0.04128732252270223
r0020,g2,-0.24455253226153603,-1.9958566110829767,-0.1552476168361552,-0.7973323145593965,-6.507235711391393,-0.5061650374955904,-0.01354345978519266,-0.11053168617491634,-0.008597702243863328
r0021,g3,-1.8533359301507815,-0.1243419278483314,0.7849745223095677,-6.026991892747655,-0.40435615523276336,2.552713194087985,-0.10232728211570205,-0.006865226817628971,0.04334039398430843
