scale_a,omega_rad_s,M_E_kg,M_I_kg,C_p,beta_knot,beta_fluid,energy_drift_rel
0.8,3169394.392947173,1.0350026331570235e-30,9e-31,1.4647037876205455e-15,1.0099237728051924e+33,9.706648235381516e+32,-2.6151098398117397e-05
0.8300000000000001,3730465.355696657,9.261841437738063e-31,9.090000000000002e-31,1.8023927413211404e-15,1.0072949848643562e+33,1.1775561366119239e+33,-3.084327503493021e-06
0.8600000000000001,2942669.177331137,8.107345247815788e-31,9.18e-31,1.70131453942315e-15,9.956187496559721e+32,7.96651834878281e+32,-0.00015085141271610724
0.89,1908756.698665436,9.004522563604314e-31,9.270000000000001e-31,1.7900646439364373e-15,9.967966229262079e+32,1.0071325533466297e+33,-0.0001335585501570695
0.92,2334783.1883404935,9.627432240550261e-31,9.36e-31,2.1531902771409347e-15,9.915377735473345e+32,9.320647220990663e+32,-0.00020151776559190418
0.9500000000000001,2048648.3444159545,6.958952381463661e-31,9.450000000000001e-31,1.3534720841027744e-15,1.0110151149235559e+33,6.771330916060526e+32,7.985617632771143e-05
0.98,2184890.665949738,9.182434198859934e-31,9.540000000000002e-31,2.083285455853243e-15,1.005274612940412e+33,1.1629149387023254e+33,-2.3037016360335843e-05
1.01,1786426.8676802455,8.931306527167853e-31,9.630000000000001e-31,1.5460226948496827e-15,9.99550770025095e+32,8.81739936045282e+32,0.0001068594497766815
1.04,1330596.2581827643,8.444256179831825e-31,9.720000000000002e-31,1.5734058186772554e-15,9.790713647894499e+32,1.2584413431094303e+33,-0.00024083391886659813
1.07,1672646.8202792236,9.191720144313473e-31,9.81e-31,2.6117829713928655e-15,9.801458355076165e+32,1.1377287844235412e+33,-7.314140888110802e-05
1.1,1614407.1039592014,9.102888246977481e-31,9.900000000000002e-31,2.233628186003945e-15,9.886235812447856e+32,9.769234437193424e+32,3.534152669265362e-05
1.13,1998650.9900722862,7.106552112111676e-31,9.990000000000002e-31,2.607439389802762e-15,1.0094806957853998e+33,9.362547605194777e+32,3.0492958673817718e-05
1.1600000000000001,1382430.8374355545,1.2071882809964504e-30,1.0080000000000001e-30,2.1005068511489973e-15,9.978444432018106e+32,9.637088935063109e+32,-1.9987619091113928e-05
1.19,1374913.1333781779,9.097289010477474e-31,1.017e-30,2.8713323806847147e-15,9.808900709136179e+32,4.503630439471555e+32,-1.2284937935559679e-05
1.22,1314183.391092405,1.0718541213367916e-30,1.0260000000000001e-30,1.968070877682835e-15,9.985188309796472e+32,1.0482968267848361e+33,9.684151831691389e-05
1.25,1193988.4320865632,9.886959063792594e-31,1.035e-30,2.8733769564388794e-15,1.0053002637191245e+33,8.566993581869963e+32,0.00023239429559340948
1.28,1362775.9978725426,9.702101186173753e-31,1.0440000000000001e-30,1.5975646537964428e-15,1.0029831844727563e+33,8.777803630212773e+32,-0.00010575388669289787
1.31,938872.8559595107,9.890396794496426e-31,1.053e-30,2.5724996003097198e-15,9.956648366275825e+32,7.79194604664712e+32,6.688365112608507e-05
1.34,1124809.2625327269,1.1695447289628557e-30,1.062e-30,2.6344970146186712e-15,9.983125760693615e+32,9.766234502129295e+32,-4.548675523560546e-06
1.37,884235.3455476881,1.1569767407683379e-30,1.071e-30,2.729855046418018e-15,1.0017381382917697e+33,9.660602521819489e+32,-2.5989309680350727e-05
