opaque_id,anon_carrier_id,row_status,error_code,resolution_N,amplitude_hat,delta_E_hat,base_energy_hat,delta_E_over_abs_base,energy_signal_valid,frequency_hat,omega_hat,fft_bin_index,fft_bin_width_hat,frequency_window_limited,frequency_certified,frequency_certification_status,frequency_extension_rounds,frequency_horizon_factor,effective_t_final_hat,spectral_power,cycles,period_cv,harmonic_r2,mode_discovery_valid,mode_normal_fraction,mode_pod_power_fraction,epsilon_RE,epsilon_RE_perp,epsilon_RE_full,normal_velocity_fraction,mesh_cv_plus,mesh_cv_minus,mesh_edge_ratio_plus,mesh_edge_ratio_minus,adaptive_reparams_plus,adaptive_reparams_minus,dt_hat_min,dt_hat_max,n_steps,normalization_L_hat,normalization_Gamma_hat,core_fraction_hat,matched_energy_frequency_same_frozen_mode,temporal_frequency_rel_change,temporal_frequency_resolved
Q_8ddbfaa77a8d50fd,C_56535ea7b08a,OK,,96,0.006,0.4968895893780371,2.0,0.24844479468901856,True,1.332672,8.373425129689634,3,0.1,False,True,RESOLVED,0,1.0,6.002977476828507,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_043f61df0db3e9fc,C_efc97b262d02,OK,,96,0.002,0.5836410875977633,2.0,0.29182054379888167,True,1.5749760000000002,9.895866062360477,3,0.1,False,True,RESOLVED,0,1.0,5.079442480393351,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_483147742d23e9a4,C_56535ea7b08a,OK,,96,0.003,0.49684825674481387,2.0,0.24842412837240693,True,1.332672,8.373425129689634,3,0.1,False,True,RESOLVED,0,1.0,6.002977476828507,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_69ba1f7fe04b6356,C_efc97b262d02,OK,,64,0.003,0.590463254152102,2.0,0.295231627076051,True,1.5899520000000003,9.989963045520799,3,0.1,False,True,RESOLVED,0,1.0,5.031598438191844,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_fe3173a6fefb150d,C_4dbebc8e3b51,OK,,128,0.004,0.5345073603118201,2.0,0.26725368015591006,True,1.44,9.047786842338605,3,0.1,False,True,RESOLVED,0,1.0,5.555555555555555,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_defecaa3fd6f9a0c,C_efc97b262d02,OK,,128,0.004,0.5791517459738802,2.0,0.2895758729869401,True,1.56,9.801769079200154,3,0.1,False,True,RESOLVED,0,1.0,5.128205128205128,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_f37a6668cf2900f7,C_4ad4e816114c,OK,,64,0.004,0.45425459144507385,2.0,0.22712729572253693,True,1.2230400000000001,7.684586958092922,3,0.1,False,True,RESOLVED,0,1.0,6.541077969649398,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_d756bef8e7e43f80,C_4dbebc8e3b51,OK,,128,0.002,0.5366579038443252,2.0,0.2683289519221626,True,1.44,9.047786842338605,3,0.1,False,True,RESOLVED,0,1.0,5.555555555555555,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_2b19752c8c804465,C_efc97b262d02,OK,,64,0.006,0.5950156570438633,2.0,0.29750782852193164,True,1.5899520000000003,9.989963045520799,3,0.1,False,True,RESOLVED,0,1.0,5.031598438191844,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_00c6c258cf41778e,C_4ad4e816114c,OK,,64,0.006,0.4538874766945594,2.0,0.2269437383472797,True,1.2230400000000001,7.684586958092922,3,0.1,False,True,RESOLVED,0,1.0,6.541077969649398,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
