candidate_fseries,candidate_ideal,comparison,pair_id,topology
CAND_7EC3A0C20817164B,CAND_D6B0C3E27893DFA4,fseries_vs_ideal,PAIR_6C71F11FFE9D,10_1
CAND_B0C72E6F79101B90,CAND_9105D75F85D96750,fseries_vs_ideal,PAIR_F74D934F8F48,3_1
CAND_B3EC38709D42CB05,CAND_432A35379F0CEB42,fseries_vs_ideal,PAIR_2F284AB29303,4_1
CAND_6DE0C4D86E4A5C19,CAND_A163482828DAB384,fseries_vs_ideal,PAIR_7BE3B2B9D29A,5_1
CAND_2AA172367B3AA886,CAND_248C32DDB600B428,fseries_vs_ideal,PAIR_5A1CD043EA74,5_2
CAND_840F53698F7DE277,CAND_9BF7FFC85759677A,fseries_vs_ideal,PAIR_8D455B1E2ED2,6_1
CAND_C3986071925BB7B5,CAND_1E5E2B09B4B8C551,fseries_vs_ideal,PAIR_C615B15C4CEA,6_2
CAND_7CAECDD540CA31A3,CAND_D1BC264E75ED07F7,fseries_vs_ideal,PAIR_56D2E1070B84,7_1
CAND_876DEFA9C0016C79,CAND_3749715170080E8E,fseries_vs_ideal,PAIR_3E9D017385B6,7_2
CAND_459B8D07E161024E,CAND_6B41DAEC85796FF8,fseries_vs_ideal,PAIR_F8C3CE5A39A2,7_4
CAND_89F55742FC41BA0B,CAND_7727435FF99284A8,fseries_vs_ideal,PAIR_93ADBD970BA2,8_1
CAND_0673AF70FB9A87D6,CAND_6835C39D1CA72DEA,fseries_vs_ideal,PAIR_7536D10E62B9,8_17
CAND_A2534BB7D0203515,CAND_E2BBD9FDECC1583A,fseries_vs_ideal,PAIR_42F58110D533,8_3
CAND_0AF113E03671A6E2,CAND_B7D9774987F8F8D9,fseries_vs_ideal,PAIR_E3297B4D7A99,9_2
