case_id,rho_kg_m3,v_ref_m_s,geom_scale,family_id,resolution,pair_id,handedness,filter_radius_cells,points_used,median_delta_pa,median_C_blind,median_axisymmetry_residual,median_director_alignment,positive_anisotropy_fraction,angular_momentum_x,angular_momentum_y,angular_momentum_z,angular_momentum_norm,kinetic_energy_j
scale_001,0.5,1.0,0.75,scale_001,24.0,,0,2,3712,0.0018903591682419645,0.003780718336483929,1.4912116680365654e-15,1.0,1.0,-4.8119435616189066e-21,-9.335170509540679e-20,0.03256313406541575,0.03256313406541575,0.021708756043610472
scale_002,0.5,1.0,1.25,scale_002,24.0,,0,2,3584,0.0018903591682419658,0.0037807183364839316,4.58834359395866e-16,1.0,1.0,0.0,0.0,0.25125875050473884,0.25125875050473884,0.10050350020190037
scale_003,0.5,2.0,0.75,scale_003,24.0,,0,2,3712,0.007561436672967858,0.003780718336483929,1.4912116680365654e-15,1.0,1.0,-9.623887123237813e-21,-1.8670341019081357e-19,0.0651262681308315,0.0651262681308315,0.08683502417444189
scale_004,0.5,2.0,1.25,scale_004,24.0,,0,2,3584,0.007561436672967863,0.0037807183364839316,4.58834359395866e-16,1.0,1.0,0.0,0.0,0.5025175010094777,0.5025175010094777,0.40201400080760147
scale_005,0.5,4.0,0.75,scale_005,24.0,,0,2,3712,0.030245746691871432,0.003780718336483929,1.4912116680365654e-15,1.0,1.0,-1.9247774246475626e-20,-3.7340682038162714e-19,0.130252536261663,0.130252536261663,0.34734009669776755
scale_006,0.5,4.0,1.25,scale_006,24.0,,0,2,3584,0.030245746691871453,0.0037807183364839316,4.58834359395866e-16,1.0,1.0,0.0,0.0,1.0050350020189553,1.0050350020189553,1.6080560032304059
scale_007,1.0,1.0,0.75,scale_007,24.0,,0,2,3712,0.003780718336483929,0.003780718336483929,1.4912116680365654e-15,1.0,1.0,-9.623887123237813e-21,-1.8670341019081357e-19,0.0651262681308315,0.0651262681308315,0.043417512087220944
scale_008,1.0,1.0,1.25,scale_008,24.0,,0,2,3584,0.0037807183364839316,0.0037807183364839316,4.58834359395866e-16,1.0,1.0,0.0,0.0,0.5025175010094777,0.5025175010094777,0.20100700040380073
scale_009,1.0,2.0,0.75,scale_009,24.0,,0,2,3712,0.015122873345935716,0.003780718336483929,1.4912116680365654e-15,1.0,1.0,-1.9247774246475626e-20,-3.7340682038162714e-19,0.130252536261663,0.130252536261663,0.17367004834888378
scale_010,1.0,2.0,1.25,scale_010,24.0,,0,2,3584,0.015122873345935726,0.0037807183364839316,4.58834359395866e-16,1.0,1.0,0.0,0.0,1.0050350020189553,1.0050350020189553,0.8040280016152029
scale_011,1.0,4.0,0.75,scale_011,24.0,,0,2,3712,0.060491493383742864,0.003780718336483929,1.4912116680365654e-15,1.0,1.0,-3.849554849295125e-20,-7.468136407632543e-19,0.260505072523326,0.260505072523326,0.6946801933955351
scale_012,1.0,4.0,1.25,scale_012,24.0,,0,2,3584,0.060491493383742906,0.0037807183364839316,4.58834359395866e-16,1.0,1.0,0.0,0.0,2.0100700040379107,2.0100700040379107,3.2161120064608117
scale_013,2.0,1.0,0.75,scale_013,24.0,,0,2,3712,0.007561436672967858,0.003780718336483929,1.4912116680365654e-15,1.0,1.0,-1.9247774246475626e-20,-3.7340682038162714e-19,0.130252536261663,0.130252536261663,0.08683502417444189
scale_014,2.0,1.0,1.25,scale_014,24.0,,0,2,3584,0.007561436672967863,0.0037807183364839316,4.58834359395866e-16,1.0,1.0,0.0,0.0,1.0050350020189553,1.0050350020189553,0.40201400080760147
scale_015,2.0,2.0,0.75,scale_015,24.0,,0,2,3712,0.030245746691871432,0.003780718336483929,1.4912116680365654e-15,1.0,1.0,-3.849554849295125e-20,-7.468136407632543e-19,0.260505072523326,0.260505072523326,0.34734009669776755
scale_016,2.0,2.0,1.25,scale_016,24.0,,0,2,3584,0.030245746691871453,0.0037807183364839316,4.58834359395866e-16,1.0,1.0,0.0,0.0,2.0100700040379107,2.0100700040379107,1.6080560032304059
scale_017,2.0,4.0,0.75,scale_017,24.0,,0,2,3712,0.12098298676748573,0.003780718336483929,1.4912116680365654e-15,1.0,1.0,-7.69910969859025e-20,-1.4936272815265086e-18,0.521010145046652,0.521010145046652,1.3893603867910702
scale_018,2.0,4.0,1.25,scale_018,24.0,,0,2,3584,0.12098298676748581,0.0037807183364839316,4.58834359395866e-16,1.0,1.0,0.0,0.0,4.020140008075821,4.020140008075821,6.4322240129216235
hand_p,1.0,2.0,1.0,hand,24.0,pair_hand,1,2,3296,0.015122873345935723,0.0037807183364839307,1.279787018109718e-15,1.0,1.0,-1.368730613082711e-20,-1.368730613082711e-20,0.41166233682698106,0.41166233682698106,0.41166233682698383
hand_m,1.0,2.0,1.0,hand,24.0,pair_hand,-1,2,3296,0.015122873345935723,0.0037807183364839307,1.279787018109718e-15,1.0,1.0,1.368730613082711e-20,1.368730613082711e-20,-0.41166233682698106,0.41166233682698106,0.41166233682698383
