case_index,source_name,source_path,family_hint,resolution_N,amplitude,delta_E_J,base_energy_J,delta_E_over_abs_base,energy_signal_valid,frequency_Hz,omega_rad_s,frequency_dimless,spectral_power,cycles,period_cv,harmonic_r2,pod_discovery_fraction,epsilon_RE,mesh_cv_plus,mesh_cv_minus,dt,n_steps,L_phys_m,Gamma_phys_m2_s,rho_energy_kg_m3,temporal_frequency_rel_change
0,carrier0,synthetic,synthetic,64,0.002,1.1913288738623204e-19,1e-12,1.1913288738623204e-07,True,1.2230400000000002e+20,7.684586958092922e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,64,0.003,2.703144057613503e-19,1e-12,2.703144057613503e-07,True,1.2230400000000002e+20,7.684586958092922e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,64,0.004,4.793324939313594e-19,1e-12,4.793324939313593e-07,True,1.2230400000000002e+20,7.684586958092922e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,64,0.006,1.0774082961691377e-18,1e-12,1.0774082961691377e-06,True,1.2230400000000002e+20,7.684586958092922e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,96,0.002,1.2058012744115408e-19,1e-12,1.2058012744115408e-07,True,1.21152e+20,7.612204663354212e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,96,0.003,2.700892088956154e-19,1e-12,2.700892088956154e-07,True,1.21152e+20,7.612204663354212e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,96,0.004,4.793412463127739e-19,1e-12,4.793412463127739e-07,True,1.21152e+20,7.612204663354212e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,96,0.006,1.089734673661329e-18,1e-12,1.089734673661329e-06,True,1.21152e+20,7.612204663354212e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,128,0.002,1.1970322054721462e-19,1e-12,1.1970322054721462e-07,True,1.2e+20,7.539822368615503e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,128,0.003,2.682949234245549e-19,1e-12,2.682949234245549e-07,True,1.2e+20,7.539822368615503e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
