k_rad_m,omega_rad_s,power
25000000.0,20033283024785.266,1.05
50000000.0,39890201907251.14,0.9548374180359596
75000000.0,60150081215245.164,0.8687307530779819
100000000.0,80240735531933.89,0.7908182206817179
125000000.0,99429689443403.84,0.7203200460356394
150000000.0,119546215377529.56,0.6565306597126335
175000000.0,140068692969330.25,0.5988116360940264
200000000.0,159863203555675.1,0.5465853037914096
225000000.0,180005927374947.7,0.49932896411722155
250000000.0,199503173643455.84,0.4565696597405991
275000000.0,220595402663409.47,0.4178794411714423
300000000.0,240575010193508.84,0.38287108369807954
325000000.0,260066503944097.75,0.35119421191220207
350000000.0,280961882613853.16,0.3225317930340126
375000000.0,300435758408026.9,0.2965969639416065
400000000.0,319190079235632.1,0.27313016014842983
425000000.0,340391125799764.2,0.2518965179946554
450000000.0,358979406791104.7,0.23268352405273468
475000000.0,381016433343490.3,0.21529888822158655
500000000.0,399955088906816.5,0.19956861922263508
