k_rad_m,omega_rad_s,power
25000000.0,20059595250272.207,1.05
50000000.0,40080178512196.625,0.9548374180359596
75000000.0,59895208252688.03,0.8687307530779819
100000000.0,80070718717536.0,0.7908182206817179
125000000.0,100050005742742.22,0.7203200460356394
150000000.0,120093727894822.45,0.6565306597126335
175000000.0,140381000086738.23,0.5988116360940264
200000000.0,160122325863411.84,0.5465853037914096
225000000.0,180381613324058.8,0.49932896411722155
250000000.0,200055547441693.34,0.4565696597405991
275000000.0,220205818803135.38,0.4178794411714423
300000000.0,240469527522603.72,0.38287108369807954
325000000.0,258878418460512.6,0.35119421191220207
350000000.0,279746476178259.88,0.3225317930340126
375000000.0,299591664611136.5,0.2965969639416065
400000000.0,319401677265686.4,0.27313016014842983
425000000.0,339734354903748.8,0.2518965179946554
450000000.0,361629536616133.1,0.23268352405273468
475000000.0,379027952528109.7,0.21529888822158655
500000000.0,401176934025509.75,0.19956861922263508
