case_index,source_name,source_path,family_hint,resolution_N,amplitude,delta_E_J,base_energy_J,delta_E_over_abs_base,energy_signal_valid,frequency_Hz,omega_rad_s,frequency_dimless,spectral_power,cycles,period_cv,harmonic_r2,pod_discovery_fraction,epsilon_RE,mesh_cv_plus,mesh_cv_minus,dt,n_steps,L_phys_m,Gamma_phys_m2_s,rho_energy_kg_m3,temporal_frequency_rel_change
0,carrier0,synthetic,synthetic,64,0.002,8.05710192787435e-14,1e-12,0.08057101927874351,True,1.2230400000000002e+20,7.684586958092922e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,64,0.003,8.111498253156168e-14,1e-12,0.08111498253156169,True,1.2230400000000002e+20,7.684586958092922e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,64,0.004,8.094933111209078e-14,1e-12,0.08094933111209078,True,1.2230400000000002e+20,7.684586958092922e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,64,0.006,8.088391032371529e-14,1e-12,0.0808839103237153,True,1.2230400000000002e+20,7.684586958092922e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,96,0.002,8.058663445617511e-14,1e-12,0.08058663445617512,True,1.21152e+20,7.612204663354212e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,96,0.003,8.029738389026116e-14,1e-12,0.08029738389026116,True,1.21152e+20,7.612204663354212e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,96,0.004,8.018802804837391e-14,1e-12,0.08018802804837391,True,1.21152e+20,7.612204663354212e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,96,0.006,8.085502602190905e-14,1e-12,0.08085502602190905,True,1.21152e+20,7.612204663354212e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,128,0.002,7.935552328214123e-14,1e-12,0.07935552328214124,True,1.2e+20,7.539822368615503e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
0,carrier0,synthetic,synthetic,128,0.003,7.911113666222147e-14,1e-12,0.07911113666222147,True,1.2e+20,7.539822368615503e+20,1,0.85,8,0.03,0.95,0.8,0.02,0.03,0.03,1e-05,1000,3e-14,1e-08,7e-07,0.002
