case_id,file,rho_kg_m3,v_ref_m_s,geom_scale,family_id,resolution,pair_id,handedness,filter_radius_cells
scale_001,fields/scale_001.npz,0.5,1.0,0.75,scale_001,24,,0,2
scale_002,fields/scale_002.npz,0.5,1.0,1.25,scale_002,24,,0,2
scale_003,fields/scale_003.npz,0.5,2.0,0.75,scale_003,24,,0,2
scale_004,fields/scale_004.npz,0.5,2.0,1.25,scale_004,24,,0,2
scale_005,fields/scale_005.npz,0.5,4.0,0.75,scale_005,24,,0,2
scale_006,fields/scale_006.npz,0.5,4.0,1.25,scale_006,24,,0,2
scale_007,fields/scale_007.npz,1.0,1.0,0.75,scale_007,24,,0,2
scale_008,fields/scale_008.npz,1.0,1.0,1.25,scale_008,24,,0,2
scale_009,fields/scale_009.npz,1.0,2.0,0.75,scale_009,24,,0,2
scale_010,fields/scale_010.npz,1.0,2.0,1.25,scale_010,24,,0,2
scale_011,fields/scale_011.npz,1.0,4.0,0.75,scale_011,24,,0,2
scale_012,fields/scale_012.npz,1.0,4.0,1.25,scale_012,24,,0,2
scale_013,fields/scale_013.npz,2.0,1.0,0.75,scale_013,24,,0,2
scale_014,fields/scale_014.npz,2.0,1.0,1.25,scale_014,24,,0,2
scale_015,fields/scale_015.npz,2.0,2.0,0.75,scale_015,24,,0,2
scale_016,fields/scale_016.npz,2.0,2.0,1.25,scale_016,24,,0,2
scale_017,fields/scale_017.npz,2.0,4.0,0.75,scale_017,24,,0,2
scale_018,fields/scale_018.npz,2.0,4.0,1.25,scale_018,24,,0,2
hand_p,fields/hand_p.npz,1.0,2.0,1.0,hand,24,pair_hand,1,2
hand_m,fields/hand_m.npz,1.0,2.0,1.0,hand,24,pair_hand,-1,2
