opaque_id,anon_carrier_id,row_status,error_code,resolution_N,amplitude_hat,delta_E_hat,base_energy_hat,delta_E_over_abs_base,energy_signal_valid,frequency_hat,omega_hat,fft_bin_index,fft_bin_width_hat,frequency_window_limited,frequency_certified,frequency_certification_status,frequency_extension_rounds,frequency_horizon_factor,effective_t_final_hat,spectral_power,cycles,period_cv,harmonic_r2,mode_discovery_valid,mode_normal_fraction,mode_pod_power_fraction,epsilon_RE,epsilon_RE_perp,epsilon_RE_full,normal_velocity_fraction,mesh_cv_plus,mesh_cv_minus,mesh_edge_ratio_plus,mesh_edge_ratio_minus,adaptive_reparams_plus,adaptive_reparams_minus,dt_hat_min,dt_hat_max,n_steps,normalization_L_hat,normalization_Gamma_hat,core_fraction_hat,matched_energy_frequency_same_frozen_mode,temporal_frequency_rel_change,temporal_frequency_resolved
Q_9f8c35623f5fdaf5,C_a1d289936347,OK,,128,0.006,2.4873855624273337e-05,2.0,1.2436927812136669e-05,True,1.56,9.801769079200154,3,0.1,False,True,RESOLVED,0,1.0,5.128205128205128,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_cddf03ce1d4e138b,C_eae9dbe21a29,OK,,64,0.006,2.519691515896519e-05,2.0,1.2598457579482595e-05,True,1.467648,9.221504349711505,3,0.1,False,True,RESOLVED,0,1.0,5.450898308041165,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_ff74a0c9afb40b30,C_e91c7e8f0ad8,OK,,128,0.003,6.327404301054143e-06,2.0,3.1637021505270716e-06,True,1.32,8.293804605477055,3,0.1,False,True,RESOLVED,0,1.0,6.0606060606060606,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_9fe2cab6f5230d0c,C_e91c7e8f0ad8,OK,,64,0.004,1.1263776717140267e-05,2.0,5.631888358570133e-06,True,1.345344,8.453045653902214,3,0.1,False,True,RESOLVED,0,1.0,5.946434517863089,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_223fb54165e6ee42,C_eae9dbe21a29,OK,,64,0.004,1.1175579085686311e-05,2.0,5.587789542843156e-06,True,1.467648,9.221504349711505,3,0.1,False,True,RESOLVED,0,1.0,5.450898308041165,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_60458e1456c73a80,C_eae9dbe21a29,OK,,96,0.003,6.2938402535965534e-06,2.0,3.1469201267982767e-06,True,1.453824,9.134645596025054,3,0.1,False,True,RESOLVED,0,1.0,5.502729353759465,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_3d5a367062b64fb0,C_e9b81b133ece,OK,,64,0.003,6.307336134431506e-06,2.0,3.153668067215753e-06,True,1.2230400000000001,7.684586958092922,3,0.1,False,True,RESOLVED,0,1.0,6.541077969649398,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_4e6f192f445dc5a4,C_e9b81b133ece,OK,,128,0.006,2.5133709790543857e-05,2.0,1.2566854895271928e-05,True,1.2,7.5398223686155035,3,0.1,False,True,RESOLVED,0,1.0,6.666666666666667,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_e7bd3381b74ae12c,C_eae9dbe21a29,OK,,96,0.004,1.1244665530381982e-05,2.0,5.622332765190991e-06,True,1.453824,9.134645596025054,3,0.1,False,True,RESOLVED,0,1.0,5.502729353759465,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_6f66e61704a56932,C_e91c7e8f0ad8,OK,,96,0.006,2.5286760520142395e-05,2.0,1.2643380260071197e-05,True,1.332672,8.373425129689634,3,0.1,False,True,RESOLVED,0,1.0,6.002977476828507,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_7b3ef3c788beda25,C_e91c7e8f0ad8,OK,,64,0.006,2.5433400212959343e-05,2.0,1.2716700106479671e-05,True,1.345344,8.453045653902214,3,0.1,False,True,RESOLVED,0,1.0,5.946434517863089,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_daec9a0cf7cc1ef5,C_a1d289936347,OK,,96,0.002,2.7881718387818757e-06,2.0,1.3940859193909379e-06,True,1.5749760000000002,9.895866062360477,3,0.1,False,True,RESOLVED,0,1.0,5.079442480393351,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
Q_f559700e3f712f99,C_a1d289936347,OK,,96,0.003,6.319203533305066e-06,2.0,3.159601766652533e-06,True,1.5749760000000002,9.895866062360477,3,0.1,False,True,RESOLVED,0,1.0,5.079442480393351,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
