scale_a,omega_rad_s,M_E_kg,M_I_kg,C_p,beta_knot,beta_fluid,energy_drift_rel
0.8,3121001.8704930055,9.146540267639003e-31,9.1e-31,2.905416079681516e-15,9.96849315776688e+32,9.875784358098567e+32,-4.266038948424073e-08
0.8400000000000001,2850225.586465225,9.32136929522057e-31,9.282e-31,3.0010377971528124e-15,1.0024890272766509e+33,1.0064465495466739e+33,3.706533208567975e-08
0.88,2561130.3909438024,9.544940951683895e-31,9.464e-31,3.0438157637809525e-15,1.0049881803816194e+33,9.879901665483782e+32,-3.4877762345512063e-07
0.92,2352438.382032054,9.057394775908277e-31,9.1e-31,2.9208945872821608e-15,9.995408826948741e+32,1.0047482397931692e+33,-1.2844694997489875e-07
0.9600000000000001,2173488.5324350134,9.318585418542073e-31,9.282e-31,2.9506026340486615e-15,1.0171753031733374e+33,1.0228369960763734e+33,2.3940104759580157e-07
1.0,1993796.6708551715,9.394012215581288e-31,9.464e-31,3.0180606151308794e-15,9.989357866846145e+32,1.0052498474687676e+33,4.9685450713938424e-08
1.04,1844976.3785573947,9.012920979456724e-31,9.1e-31,2.8968404101708624e-15,1.0122092131489989e+33,1.0040311049643587e+33,4.8951749463215045e-08
1.08,1718334.353349401,9.143722042222191e-31,9.282e-31,2.971679804765296e-15,1.0130624359980706e+33,9.926556727655969e+32,-6.431877021313409e-08
1.12,1593541.620148073,9.386654484977362e-31,9.464e-31,3.0435433570111677e-15,9.993772010506703e+32,9.847397563454018e+32,1.6556917569826285e-07
1.1600000000000001,1491300.0571478966,9.186071603109075e-31,9.1e-31,2.9539501966721684e-15,1.0036224367034834e+33,1.0048194988375846e+33,-2.5983361694624995e-07
1.2000000000000002,1393162.800088298,9.225216537081764e-31,9.282e-31,2.9567936670967613e-15,9.873521222569868e+32,9.777983616620079e+32,-1.0622421852317383e-07
1.24,1309110.545935718,9.271711200629457e-31,9.464e-31,2.984333678850975e-15,1.0023935109637449e+33,1.0168615552399208e+33,1.1569939007496297e-07
1.28,1209106.7915226321,8.870840630467157e-31,9.1e-31,2.9224074069215048e-15,9.926373806026354e+32,9.815219604908362e+32,1.9547424828391257e-07
1.32,1154165.4396475,9.296596119542302e-31,9.282e-31,2.977540152218918e-15,1.0043436280983213e+33,1.0203529062757394e+33,1.2380572065107702e-07
1.36,1084118.99620986,9.51583788396846e-31,9.464e-31,2.980984029486528e-15,1.0128173351840407e+33,1.0224907746543933e+33,1.0592474435993834e-07
1.4,1010337.3702268541,9.042335117671644e-31,9.1e-31,2.9365278806528384e-15,9.818878574747867e+32,9.800809655499799e+32,2.0390553437045854e-07
1.44,958182.925284474,9.431450057333156e-31,9.282e-31,2.98663465467584e-15,9.984986124872022e+32,1.0017424031873656e+33,1.2996619828903045e-07
1.48,913624.8800502353,9.572425284721598e-31,9.464e-31,3.008445255135102e-15,9.958526384410664e+32,1.0062262815470828e+33,5.359788309455363e-09
1.52,861840.096601803,9.186127429159884e-31,9.1e-31,2.954675289363696e-15,9.955517391484425e+32,9.818131929735361e+32,-2.6949640338622604e-08
1.56,821215.4059679477,9.25433967252101e-31,9.282e-31,3.0119650494649823e-15,9.89730635260842e+32,1.0022070474688136e+33,-2.5366439581472385e-07
