pair_id,carrier_id,profile,axial_ratio,core_fraction,m,n,both_valid,closed_phase_valid,clock_regime,lambda_real,lambda_imag,omega_mode,T_mode,advective_frequency_mode_weighted,omega_intrinsic,T_intrinsic,group_velocity,tau_loop_group,tau_return_measured,phi_loop,phase_uncertainty_rad,phase_sampling_step_rad,dispersion_omega_rmse,carrier_phase_cycles_at_return,omega_swirl_rms_core,mode_over_swirl_frequency_ratio,intrinsic_over_swirl_frequency_ratio,growth_effect_bounded,log_growth_ratio
P00000,TORUS_T2_3,gaussian,-1.0,0.05,1,1,False,False,FAST_SWIRL_LOCKED,0.0,-1.0236033654518202,1.0236033654518202,6.13830075129362,1.2621865778573846,-0.23858321240556446,26.33540408743798,-0.08877791950332513,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,0.7749995192438192,0.18063820533878616,nan,nan
P00001,TORUS_T2_3,gaussian,-1.0,0.05,1,2,True,True,FAST_SWIRL_LOCKED,0.028829028645273876,-1.4724236961601516,1.4724236961601516,4.267240009492608,1.4916153133327028,-0.019191617172551245,327.39217600516196,-1.0183395409597291,251.4951032598988,251.9242221480099,1.1332485960183554,0.0001478678090558014,0.049999999999999996,9.996494399731144e-09,60.80652728771468,1.3207793553866565,1.1148142876060487,0.014530524795288706,0.14672228074863264,0.295589697066188
P00002,TORUS_T2_3,gaussian,-0.5,0.05,1,1,False,False,FAST_SWIRL_LOCKED,0.0,-1.055990361889914,1.055990361889914,5.950040392352181,1.3108713562859005,-0.25488099439598644,24.65144693141752,-0.0871566825647904,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,0.7995206448247173,0.19297772436893545,nan,nan
P00003,TORUS_T2_3,gaussian,-0.5,0.05,1,2,False,True,FAST_SWIRL_LOCKED,0.013282201629236072,-1.4947051526074109,1.4947051526074109,4.203628586025143,1.5091450144483212,-0.014439861840910284,435.127799448772,-0.5057409530120139,506.40037450402235,506.62064311016775,-0.936726232460783,0.0003033482621337866,0.05000000000000001,5.319388094386186e-08,124.13058436458016,1.3207793553866565,1.1316842184967661,0.010932834301216825,nan,nan
P00004,TORUS_T2_3,gaussian,0.5,0.05,1,1,False,False,FAST_SWIRL_LOCKED,0.0,-1.0278731705265094,1.0278731705265094,6.112802130987754,1.3100518416915001,-0.28217867116499074,22.266691104749686,0.08193557537146366,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,0.7782323113504457,0.21364557979662188,nan,nan
P00005,TORUS_T2_3,gaussian,0.5,0.05,1,2,False,True,FAST_SWIRL_LOCKED,-1.6962181496449261e-18,-1.5556077902416152,1.5556077902416152,4.03905492540873,1.555008964677394,0.0005988255642213058,10492.513484039455,0.5080870596681285,504.0620561653132,497.0427054807539,1.9981929919150714,0.0050146403541483425,0.05,1.0069420949377114e-05,126.7625960128238,1.3207793553866565,1.1777953553689617,0.0004533880407647653,nan,nan
P00006,TORUS_T2_3,gaussian,1.0,0.05,1,1,False,False,FAST_SWIRL_LOCKED,1.7801367566560244e-19,-1.0300575555229041,1.0300575555229041,6.099839056070954,1.3095495481806143,-0.2794919926577102,22.48073459075628,0.21341748713993586,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,0.7798861719952884,0.2116114183022563,nan,nan
P00007,TORUS_T2_3,gaussian,1.0,0.05,1,2,False,False,OTHER_BRANCH,-1.901407232792992e-18,-1.537010803477817,1.537010803477817,4.087925272198823,1.5543459305972194,-0.017335127119402438,362.45395051917995,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,1.163715042341693,0.013124922833403618,nan,nan
P00008,TORUS_T2_3,smooth_rankine,-1.0,0.05,1,1,True,True,FAST_SWIRL_LOCKED,0.01058535856366324,-1.3696256426098956,1.3696256426098956,4.587520203846824,1.376254166007484,-0.006628523397588459,947.9012036776529,-1.0775894884062203,237.66695087764248,289.32208709361475,-1.377180899118463,0.11095578269604667,0.05,0.00038350238990095937,63.329503823489986,1.299188297090765,1.0542164254995667,0.005102049804813914,0.04275495472353355,0.0855704248867726
P00009,TORUS_T2_3,smooth_rankine,-1.0,0.05,1,2,True,True,FAST_SWIRL_LOCKED,0.021938376357172724,-1.2686497611334668,1.2686497611334668,4.952655571042646,1.2988270629825471,-0.029559517613024777,212.560481853433,-0.9045897404701625,283.11995653874277,289.2108916371733,0.8367716036504476,0.00017810917979881687,0.05,3.914380700590755e-07,57.89765250499772,1.299188297090765,0.9764941417455173,0.022752296706502476,0.010471199707828933,0.020944119938698595
P00010,TORUS_T2_3,smooth_rankine,-0.5,0.05,1,1,False,False,FAST_SWIRL_LOCKED,0.00427836395117847,-1.379817810121643,1.379817810121643,4.553634009569473,1.3854352872662523,-0.006209379233635071,1011.8862241727356,-0.4695959102919991,nan,nan,nan,nan,nan,nan,nan,1.299188297090765,1.0620614526865961,0.00477942977745378,nan,nan
P00011,TORUS_T2_3,smooth_rankine,-0.5,0.05,1,2,False,True,FAST_SWIRL_LOCKED,-4.601875559078026e-16,-1.2994353835234023,1.2994353835234023,4.83531954481862,1.315677974663721,-0.016242591140318785,386.83392648990053,-0.7012615045739288,365.2095635320954,329.2686731540655,-2.227529786568913,0.006275247820134929,0.05,1.905003987022922e-05,67.4537788945682,1.299188297090765,1.0001901852358048,0.012502107028434871,nan,nan
P00012,TORUS_T2_3,smooth_rankine,0.5,0.05,1,1,False,False,FAST_SWIRL_LOCKED,1.188567707442423e-17,-1.4115044144714695,1.4115044144714695,4.45141031282732,1.411857061817295,-0.0003526473458255186,17817.191541513417,0.44818761633561116,nan,nan,nan,nan,nan,nan,nan,1.299188297090765,1.0864509922327739,0.00027143667058515816,nan,nan
P00013,TORUS_T2_3,smooth_rankine,0.5,0.05,1,2,False,True,FAST_SWIRL_LOCKED,-1.0977501849118026e-18,-1.3552384941577036,1.3552384941577036,4.6362211037140435,1.357182956100811,-0.0019444619431074894,3231.3233640038657,0.44378746468967767,577.0947320163502,706.7369199866813,2.1956072779413076,0.0007395012133897199,0.05,8.874260974235833e-07,150.63594891132016,1.299188297090765,1.0431424737987942,0.001496674460093019,nan,nan
P00014,TORUS_T2_3,smooth_rankine,1.0,0.05,1,1,False,False,FAST_SWIRL_LOCKED,6.189201332813767e-18,-1.420845081613072,1.420845081613072,4.422146642508236,1.421325937310925,-0.0004808556978530554,13066.675377318008,0.8764991856293423,nan,nan,nan,nan,nan,nan,nan,1.299188297090765,1.0936406099059923,0.000370120096470867,nan,nan
P00015,TORUS_T2_3,smooth_rankine,1.0,0.05,1,2,False,False,OTHER_BRANCH,4.447033300079539e-18,-1.3885954190657575,1.3885954190657575,4.524849514055644,1.3908232381833099,-0.002227819117552432,2820.330096674337,nan,nan,nan,nan,nan,nan,nan,nan,1.299188297090765,1.068817678064988,0.0017147776981528567,nan,nan
