k_rad_m,omega_rad_s,power
25000000.0,20003908258187.285,1.05
50000000.0,39933288454671.52,0.9548374180359596
75000000.0,60235057440961.32,0.8687307530779819
100000000.0,79977912924303.48,0.7908182206817179
125000000.0,99886501653351.06,0.7203200460356394
150000000.0,119888231921824.23,0.6565306597126335
175000000.0,140238569857932.4,0.5988116360940265
200000000.0,160190413150894.75,0.5465853037914096
225000000.0,180237875610261.84,0.49932896411722155
250000000.0,200273492601804.72,0.4565696597405991
275000000.0,221428487416574.5,0.4178794411714423
300000000.0,239722381188203.1,0.38287108369807954
325000000.0,259615450671324.2,0.3511942119122021
350000000.0,279331430908271.8,0.3225317930340126
375000000.0,300569381480317.94,0.2965969639416065
400000000.0,321098813401012.06,0.27313016014842983
425000000.0,339898773593192.0,0.2518965179946554
450000000.0,359107631004880.5,0.23268352405273468
475000000.0,379075091414112.0,0.21529888822158655
500000000.0,400795711345389.7,0.19956861922263508
