row_status,error_code,case_index,source_name,source_path,family_hint,resolution_N,amplitude_hat,delta_E_hat,base_energy_hat,delta_E_over_abs_base,energy_signal_valid,frequency_hat,omega_hat,fft_bin_index,fft_bin_width_hat,frequency_window_limited,frequency_certified,frequency_certification_status,frequency_extension_rounds,frequency_horizon_factor,effective_t_final_hat,spectral_power,cycles,period_cv,harmonic_r2,mode_discovery_valid,mode_normal_fraction,mode_pod_power_fraction,epsilon_RE,epsilon_RE_perp,epsilon_RE_full,normal_velocity_fraction,mesh_cv_plus,mesh_cv_minus,mesh_edge_ratio_plus,mesh_edge_ratio_minus,adaptive_reparams_plus,adaptive_reparams_minus,dt_hat_min,dt_hat_max,n_steps,normalization_L_hat,normalization_Gamma_hat,core_fraction_hat,matched_energy_frequency_same_frozen_mode,temporal_frequency_rel_change,temporal_frequency_resolved
OK,,0,carrier0,synthetic,synthetic,64,0.002,0.4521316599157441,2.0,0.22606582995787206,True,1.2230400000000001,7.684586958092922,3,0.1,False,True,RESOLVED,0,1.0,6.541077969649398,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,0,carrier0,synthetic,synthetic,64,0.003,0.455184159569236,2.0,0.227592079784618,True,1.2230400000000001,7.684586958092922,3,0.1,False,True,RESOLVED,0,1.0,6.541077969649398,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,0,carrier0,synthetic,synthetic,64,0.004,0.45425459144507385,2.0,0.22712729572253693,True,1.2230400000000001,7.684586958092922,3,0.1,False,True,RESOLVED,0,1.0,6.541077969649398,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,0,carrier0,synthetic,synthetic,64,0.006,0.4538874766945594,2.0,0.2269437383472797,True,1.2230400000000001,7.684586958092922,3,0.1,False,True,RESOLVED,0,1.0,6.541077969649398,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,0,carrier0,synthetic,synthetic,96,0.002,0.4522192859152069,2.0,0.22610964295760344,True,1.21152,7.612204663354212,3,0.1,False,True,RESOLVED,0,1.0,6.603275224511358,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,0,carrier0,synthetic,synthetic,96,0.003,0.45059612985153835,2.0,0.22529806492576918,True,1.21152,7.612204663354212,3,0.1,False,True,RESOLVED,0,1.0,6.603275224511358,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,0,carrier0,synthetic,synthetic,96,0.004,0.44998246952110477,2.0,0.22499123476055238,True,1.21152,7.612204663354212,3,0.1,False,True,RESOLVED,0,1.0,6.603275224511358,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,0,carrier0,synthetic,synthetic,96,0.006,0.45372538978740506,2.0,0.22686269489370253,True,1.21152,7.612204663354212,3,0.1,False,True,RESOLVED,0,1.0,6.603275224511358,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,0,carrier0,synthetic,synthetic,128,0.002,0.4453107927170377,2.0,0.22265539635851886,True,1.2,7.5398223686155035,3,0.1,False,True,RESOLVED,0,1.0,6.666666666666667,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,0,carrier0,synthetic,synthetic,128,0.003,0.4439393947985969,2.0,0.22196969739929845,True,1.2,7.5398223686155035,3,0.1,False,True,RESOLVED,0,1.0,6.666666666666667,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,0,carrier0,synthetic,synthetic,128,0.004,0.4437408427155293,2.0,0.22187042135776466,True,1.2,7.5398223686155035,3,0.1,False,True,RESOLVED,0,1.0,6.666666666666667,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,0,carrier0,synthetic,synthetic,128,0.006,0.445254607390413,2.0,0.2226273036952065,True,1.2,7.5398223686155035,3,0.1,False,True,RESOLVED,0,1.0,6.666666666666667,0.85,8,0.03,0.95,True,0.92,0.8,0.02,0.02,0.4,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,1,carrier1,synthetic,synthetic,64,0.002,0.5015540985690544,2.0,0.2507770492845272,True,1.345344,8.453045653902214,3,0.1,False,True,RESOLVED,0,1.0,5.946434517863089,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,1,carrier1,synthetic,synthetic,64,0.003,0.5019418070138548,2.0,0.2509709035069274,True,1.345344,8.453045653902214,3,0.1,False,True,RESOLVED,0,1.0,5.946434517863089,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,1,carrier1,synthetic,synthetic,64,0.004,0.5025153864144013,2.0,0.25125769320720065,True,1.345344,8.453045653902214,3,0.1,False,True,RESOLVED,0,1.0,5.946434517863089,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,1,carrier1,synthetic,synthetic,64,0.006,0.5039430869810617,2.0,0.25197154349053086,True,1.345344,8.453045653902214,3,0.1,False,True,RESOLVED,0,1.0,5.946434517863089,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,1,carrier1,synthetic,synthetic,96,0.002,0.49894104107603066,2.0,0.24947052053801533,True,1.332672,8.373425129689634,3,0.1,False,True,RESOLVED,0,1.0,6.002977476828507,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,1,carrier1,synthetic,synthetic,96,0.003,0.49684825674481387,2.0,0.24842412837240693,True,1.332672,8.373425129689634,3,0.1,False,True,RESOLVED,0,1.0,6.002977476828507,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,1,carrier1,synthetic,synthetic,96,0.004,0.49821970467759724,2.0,0.24910985233879862,True,1.332672,8.373425129689634,3,0.1,False,True,RESOLVED,0,1.0,6.002977476828507,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,1,carrier1,synthetic,synthetic,96,0.006,0.4968895893780371,2.0,0.24844479468901856,True,1.332672,8.373425129689634,3,0.1,False,True,RESOLVED,0,1.0,6.002977476828507,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,1,carrier1,synthetic,synthetic,128,0.002,0.4897736777298721,2.0,0.24488683886493606,True,1.32,8.293804605477055,3,0.1,False,True,RESOLVED,0,1.0,6.0606060606060606,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,1,carrier1,synthetic,synthetic,128,0.003,0.4925209455386813,2.0,0.24626047276934065,True,1.32,8.293804605477055,3,0.1,False,True,RESOLVED,0,1.0,6.0606060606060606,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,1,carrier1,synthetic,synthetic,128,0.004,0.49102165986078977,2.0,0.24551082993039489,True,1.32,8.293804605477055,3,0.1,False,True,RESOLVED,0,1.0,6.0606060606060606,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,1,carrier1,synthetic,synthetic,128,0.006,0.4904948240563935,2.0,0.24524741202819675,True,1.32,8.293804605477055,3,0.1,False,True,RESOLVED,0,1.0,6.0606060606060606,0.85,8,0.03,0.95,True,0.92,0.8,0.021,0.021,0.41000000000000003,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,2,carrier2,synthetic,synthetic,64,0.002,0.550210586344092,2.0,0.275105293172046,True,1.467648,9.221504349711505,3,0.1,False,True,RESOLVED,0,1.0,5.450898308041165,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,2,carrier2,synthetic,synthetic,64,0.003,0.5475191947052821,2.0,0.27375959735264105,True,1.467648,9.221504349711505,3,0.1,False,True,RESOLVED,0,1.0,5.450898308041165,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,2,carrier2,synthetic,synthetic,64,0.004,0.544760706176414,2.0,0.272380353088207,True,1.467648,9.221504349711505,3,0.1,False,True,RESOLVED,0,1.0,5.450898308041165,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,2,carrier2,synthetic,synthetic,64,0.006,0.5456591781095534,2.0,0.2728295890547767,True,1.467648,9.221504349711505,3,0.1,False,True,RESOLVED,0,1.0,5.450898308041165,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,2,carrier2,synthetic,synthetic,96,0.002,0.5457915624588812,2.0,0.2728957812294406,True,1.453824,9.134645596025054,3,0.1,False,True,RESOLVED,0,1.0,5.502729353759465,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,2,carrier2,synthetic,synthetic,96,0.003,0.5401496398809447,2.0,0.27007481994047233,True,1.453824,9.134645596025054,3,0.1,False,True,RESOLVED,0,1.0,5.502729353759465,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,2,carrier2,synthetic,synthetic,96,0.004,0.5422971099930426,2.0,0.2711485549965213,True,1.453824,9.134645596025054,3,0.1,False,True,RESOLVED,0,1.0,5.502729353759465,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,2,carrier2,synthetic,synthetic,96,0.006,0.542045969746379,2.0,0.2710229848731895,True,1.453824,9.134645596025054,3,0.1,False,True,RESOLVED,0,1.0,5.502729353759465,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,2,carrier2,synthetic,synthetic,128,0.002,0.5366579038443252,2.0,0.2683289519221626,True,1.44,9.047786842338605,3,0.1,False,True,RESOLVED,0,1.0,5.555555555555555,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,2,carrier2,synthetic,synthetic,128,0.003,0.5368236963741537,2.0,0.26841184818707686,True,1.44,9.047786842338605,3,0.1,False,True,RESOLVED,0,1.0,5.555555555555555,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,2,carrier2,synthetic,synthetic,128,0.004,0.5345073603118201,2.0,0.26725368015591006,True,1.44,9.047786842338605,3,0.1,False,True,RESOLVED,0,1.0,5.555555555555555,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,2,carrier2,synthetic,synthetic,128,0.006,0.5345477079002214,2.0,0.2672738539501107,True,1.44,9.047786842338605,3,0.1,False,True,RESOLVED,0,1.0,5.555555555555555,0.85,8,0.03,0.95,True,0.92,0.8,0.022,0.022,0.42000000000000004,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
OK,,3,carrier3,synthetic,synthetic,64,0.002,0.5909369123145813,2.0,0.29546845615729067,True,1.5899520000000003,9.989963045520799,3,0.1,False,True,RESOLVED,0,1.0,5.031598438191844,0.85,8,0.03,0.95,True,0.92,0.8,0.023,0.023,0.43000000000000005,0.55,0.03,0.03,1.2,1.2,2,2,1e-05,1e-05,1000,1.0,1.0,0.05,True,0.002,True
